AbsT,upper_Conf,lower_Conf,sensorMean
2016-03-15 08:47:28.545,20.613160334317424,20.338219640008642,20.475689987163033
2016-03-15 08:47:32.680,20.621154024517242,20.33522594980882,20.47818998716303
2016-03-15 08:47:36.668,20.617451678482265,20.3339282958438,20.475689987163033
2016-03-15 08:47:40.131,20.612955582955607,20.343424391370455,20.47818998716303
2016-03-15 08:47:44.774,20.61925452201248,20.34712545231358,20.48318998716303
2016-03-15 08:47:47.985,20.60461301140409,20.346766962921976,20.475689987163033
2016-03-15 08:47:52.350,20.60055657520251,20.350823399123556,20.475689987163033
2016-03-15 08:47:56.342,20.60843393147672,20.34794604284934,20.47818998716303
2016-03-15 08:48:00.945,20.60843393147672,20.34794604284934,20.47818998716303
2016-03-15 08:48:05.184,20.61656457937302,20.344815394953045,20.480689987163032
2016-03-15 08:48:09.049,20.60843393147672,20.34794604284934,20.47818998716303
2016-03-15 08:48:12.539,20.612955582955607,20.343424391370455,20.47818998716303
2016-03-15 08:48:16.279,20.60843393147672,20.34794604284934,20.47818998716303
2016-03-15 08:48:20.653,20.612721890267512,20.348658084058552,20.480689987163032
2016-03-15 08:48:24.759,20.614340093768718,20.342039880557344,20.47818998716303
2016-03-15 08:48:27.999,20.60055657520251,20.350823399123556,20.475689987163033
2016-03-15 08:48:32.239,20.60843393147672,20.34794604284934,20.47818998716303
2016-03-15 08:48:36.104,20.60055657520251,20.350823399123556,20.475689987163033
2016-03-15 08:48:39.968,20.60843393147672,20.34794604284934,20.47818998716303
2016-03-15 08:48:45.211,20.60461301140409,20.346766962921976,20.475689987163033
2016-03-15 08:48:48.201,20.60843393147672,20.34794604284934,20.47818998716303
2016-03-15 08:48:52.940,20.60843393147672,20.34794604284934,20.47818998716303
2016-03-15 08:48:56.320,20.60055657520251,20.350823399123556,20.475689987163033
2016-03-15 08:49:00.434,20.605417352987796,20.340962621338267,20.473189987163032
2016-03-15 08:49:04.275,20.605417352987796,20.340962621338267,20.473189987163032
2016-03-15 08:49:09.015,20.610505406362385,20.345874567963683,20.478189987163034
2016-03-15 08:49:12.506,20.610505406362385,20.345874567963683,20.478189987163034
2016-03-15 08:49:16.619,20.613160334317424,20.338219640008642,20.475689987163033
2016-03-15 08:49:20.360,20.60843393147672,20.34794604284934,20.47818998716303
2016-03-15 08:49:24.724,20.60055657520251,20.350823399123556,20.475689987163033
2016-03-15 08:49:29.089,20.602076344842654,20.34430362948341,20.473189987163032
2016-03-15 08:49:32.204,20.60843393147672,20.34794604284934,20.47818998716303
2016-03-15 08:49:35.944,20.60843393147672,20.34794604284934,20.47818998716303
2016-03-15 08:49:40.559,20.601293730286955,20.340086244039114,20.470689987163034
2016-03-15 08:49:44.173,20.599727797919705,20.351652176406354,20.47568998716303
2016-03-15 08:49:48.913,20.606059584458077,20.34532038986799,20.475689987163033
2016-03-15 08:49:52.153,20.596507164010653,20.34987281031541,20.473189987163032
2016-03-15 08:49:57.019,20.592956854951453,20.348423119374615,20.470689987163034
2016-03-15 08:50:00.508,20.598433931476723,20.337946042849342,20.468189987163033
2016-03-15 08:50:04.498,20.592956854951453,20.348423119374615,20.470689987163034
2016-03-15 08:50:08.863,20.592956854951453,20.348423119374615,20.470689987163034
2016-03-15 08:50:12.603,20.601293730286955,20.340086244039114,20.470689987163034
2016-03-15 08:50:15.968,20.596507164010653,20.34987281031541,20.473189987163032
2016-03-15 08:50:20.082,20.59180852164152,20.359571452684545,20.475689987163033
2016-03-15 08:50:24.072,20.590072448047277,20.34630752627879,20.468189987163033
