AbsT,RelH
2016-03-29 13:34:35,46.293000000000006
2016-03-29 13:34:40,46.301
2016-03-29 13:34:45,46.261
2016-03-29 13:34:50,46.261
2016-03-29 13:34:55,46.261
2016-03-29 13:35:00,46.261
2016-03-29 13:35:05,46.261
2016-03-29 13:35:10,46.261
2016-03-29 13:35:15,46.301
2016-03-29 13:35:20,46.301
2016-03-29 13:35:25,89
2016-03-29 13:35:30,89
2016-03-29 13:35:35,89
2016-03-29 13:35:40,89
2016-03-29 13:35:45,46.301
2016-03-29 13:35:50,46.301
2016-03-29 13:35:55,46.301
2016-03-29 13:36:00,46.301
2016-03-29 13:36:05,46.301
2016-03-29 13:36:10,46.301
2016-03-29 13:36:15,46.301
2016-03-29 13:36:20,46.342
2016-03-29 13:36:25,46.342
2016-03-29 13:36:30,46.301
2016-03-29 13:36:35,46.342
2016-03-29 13:36:40,46.342
2016-03-29 13:36:45,46.342
2016-03-29 13:36:50,46.342
2016-03-29 13:36:55,46.342
2016-03-29 13:37:00,46.382
2016-03-29 13:37:05,46.342
2016-03-29 13:37:10,46.342
2016-03-29 13:37:15,46.382
2016-03-29 13:37:20,46.382
2016-03-29 13:37:25,46.382
2016-03-29 13:37:30,46.382
2016-03-29 13:37:35,46.382
2016-03-29 13:37:40,46.382
2016-03-29 13:37:45,46.382
2016-03-29 13:37:50,46.382
2016-03-29 13:37:55,46.382
2016-03-29 13:38:00,46.382
2016-03-29 13:38:05,46.382
2016-03-29 13:38:10,46.382
2016-03-29 13:38:15,46.382
2016-03-29 13:38:20,46.382
2016-03-29 13:38:25,46.342
2016-03-29 13:38:30,46.342
2016-03-29 13:38:35,46.361999999999995
2016-03-29 13:38:40,46.382
2016-03-29 13:38:45,46.382
2016-03-29 13:38:50,46.382
2016-03-29 13:38:55,46.382
2016-03-29 13:39:00,46.382
2016-03-29 13:39:05,46.382
2016-03-29 13:39:10,46.382
2016-03-29 13:39:15,46.382
2016-03-29 13:39:20,46.382
2016-03-29 13:39:25,46.382
2016-03-29 13:39:30,46.382
2016-03-29 13:39:35,46.382
2016-03-29 13:39:40,46.382
2016-03-29 13:39:45,46.382
2016-03-29 13:39:50,46.382
