,AbsT,Temp,RelH,L1,L2,Occ,Act,Door,Win
0,2016-03-15 08:47:25,20.73,39.983,214.29,657.8,0.0,0.0,0,0
1,2016-03-15 08:47:30,20.73,39.983,211.43,653.2,0.0,0.0,0,0
2,2016-03-15 08:47:35,20.73,39.983,214.29,657.8,0.0,0.0,0,0
3,2016-03-15 08:47:40,20.74,39.983,211.43,653.2,0.0,0.0,0,0
4,2016-03-15 08:47:45,20.74,39.983,211.43,653.2,0.0,0.0,0,0
5,2016-03-15 08:47:50,20.74,39.983,212.86,653.2,0.0,0.0,0,0
6,2016-03-15 08:47:55,20.74,39.983,211.43,648.6,0.0,0.0,0,0
7,2016-03-15 08:48:00,20.74,39.983,215.0,657.8,0.0,0.0,0,0
8,2016-03-15 08:48:05,20.74,39.983,212.86,648.6,0.0,0.0,0,0
9,2016-03-15 08:48:10,20.74,39.983,212.86,662.4,0.0,0.0,0,0
10,2016-03-15 08:48:15,20.74,39.983,214.29,648.6,0.0,0.0,0,0
11,2016-03-15 08:48:20,20.74,39.983,215.0,655.5,0.0,0.0,0,0
12,2016-03-15 08:48:25,20.74,39.983,221.43,653.2,0.0,0.0,0,0
13,2016-03-15 08:48:30,20.74,39.983,215.71,657.8,0.0,0.0,0,0
14,2016-03-15 08:48:35,20.74,39.983,214.29,657.8,0.0,0.0,0,0
15,2016-03-15 08:48:40,20.74,39.983,213.575,660.0999999999999,0.0,0.0,0,0
16,2016-03-15 08:48:45,20.74,39.983,212.86,657.8,0.0,0.0,0,0
17,2016-03-15 08:48:50,20.74,39.983,212.86,653.2,0.0,0.0,0,0
18,2016-03-15 08:48:55,20.74,39.983,214.29,657.8,0.0,0.0,0,0
19,2016-03-15 08:49:00,20.73,39.983,214.29,664.7,0.0,0.0,0,0
20,2016-03-15 08:49:05,20.74,39.983,212.86,657.8,0.0,0.0,0,0
21,2016-03-15 08:49:10,20.74,39.983,211.43,653.2,0.0,0.0,0,0
22,2016-03-15 08:49:15,20.73,39.983,212.86,662.4,0.0,0.0,0,0
23,2016-03-15 08:49:20,20.74,39.983,214.29,660.0999999999999,0.0,0.0,0,0
24,2016-03-15 08:49:25,20.74,39.983,215.71,657.8,0.0,0.0,0,0
25,2016-03-15 08:49:30,20.74,39.983,214.29,648.6,0.0,0.0,0,0
26,2016-03-15 08:49:35,20.74,39.983,214.29,653.2,0.0,0.0,0,0
27,2016-03-15 08:49:40,20.735,39.983,212.145,657.8,0.0,0.0,0,0
28,2016-03-15 08:49:45,20.74,39.983,214.29,657.8,0.0,0.0,0,0
29,2016-03-15 08:49:50,20.74,39.983,212.86,657.8,0.0,0.0,0,0
30,2016-03-15 08:49:55,20.74,39.983,214.29,653.2,0.0,0.0,0,0
31,2016-03-15 08:50:00,20.735,39.983,212.86,662.4,0.0,0.0,0,0
32,2016-03-15 08:50:05,20.74,39.983,215.71,667.0,0.0,0.0,0,0
33,2016-03-15 08:50:10,20.73,39.983,217.14,662.4,0.0,0.0,0,0
34,2016-03-15 08:50:15,20.74,39.983,218.57,653.2,0.0,0.0,0,0
35,2016-03-15 08:50:20,20.745,39.983,215.0,662.4,0.0,0.0,0,0
36,2016-03-15 08:50:25,20.74,39.983,217.14,662.4,0.0,0.0,0,0
37,2016-03-15 08:50:30,20.74,39.983,217.14,662.4,0.0,0.0,0,0
38,2016-03-15 08:50:35,20.74,39.983,214.29,657.8,0.0,0.0,0,0
39,2016-03-15 08:50:40,20.74,39.983,213.575,664.7,0.0,0.0,0,0
40,2016-03-15 08:50:45,20.74,39.983,214.29,667.0,0.0,0.0,0,0
41,2016-03-15 08:50:50,20.74,39.983,215.71,671.6,0.0,0.0,0,0
42,2016-03-15 08:50:55,20.74,39.983,215.71,667.0,0.0,0.0,0,0
43,2016-03-15 08:51:00,20.74,39.983,215.71,667.0,0.0,0.0,0,0
44,2016-03-15 08:51:05,20.735,39.983,216.425,671.6,0.0,0.0,0,0
45,2016-03-15 08:51:10,20.74,39.983,214.29,667.0,0.0,0.0,0,0
46,2016-03-15 08:51:15,20.74,39.983,212.86,667.0,0.0,0.0,0,0
47,2016-03-15 08:51:20,20.735,39.983,215.0,664.7,0.0,0.0,0,0
48,2016-03-15 08:51:25,20.74,39.983,215.71,662.4,0.0,0.0,0,0
49,2016-03-15 08:51:30,20.74,39.983,217.14,671.6,0.0,0.0,0,0
50,2016-03-15 08:51:35,20.74,39.983,217.14,662.4,0.0,0.0,0,0
51,2016-03-15 08:51:40,20.74,39.983,212.855,671.6,0.0,0.0,0,0
52,2016-03-15 08:51:45,20.74,39.983,215.71,667.0,0.0,0.0,0,0
53,2016-03-15 08:51:50,20.74,39.983,215.71,671.6,0.0,0.0,0,0
54,2016-03-15 08:51:55,20.74,39.983,215.71,657.8,0.0,0.0,0,0
55,2016-03-15 08:52:00,20.735,39.983,216.425,664.7,0.0,0.0,0,0
56,2016-03-15 08:52:05,20.74,39.983,217.14,662.4,0.0,0.0,0,0
57,2016-03-15 08:52:10,20.74,39.983,214.29,667.0,0.0,0.0,0,0
58,2016-03-15 08:52:15,20.73,39.983,217.14,657.8,0.0,0.0,0,0
59,2016-03-15 08:52:20,20.73,39.983,217.14,667.0,0.0,0.0,0,0
60,2016-03-15 08:52:25,20.74,39.983,215.71,667.0,0.0,0.0,0,0
61,2016-03-15 08:52:30,20.74,39.983,215.71,662.4,0.0,0.0,0,0
62,2016-03-15 08:52:35,20.74,39.983,212.86,662.4,0.0,0.0,0,0
63,2016-03-15 08:52:40,20.74,39.983,217.14,667.0,0.0,0.0,0,0
64,2016-03-15 08:52:45,20.73,39.983,212.86,662.4,0.0,0.0,0,0
65,2016-03-15 08:52:50,20.74,39.983,212.86,662.4,0.0,0.0,0,0
66,2016-03-15 08:52:55,20.74,39.983,215.71,667.0,0.0,0.0,0,0
67,2016-03-15 08:53:00,20.74,39.983,215.0,667.0,0.0,0.0,0,0
