AbsT,node1,node2,node3,node4
2016-03-17 12:45:00,24.781102524471915,24.87118501291988,24.831451975527013,24.833152006172806
2016-03-17 12:45:10,24.78276919113858,24.87118501291988,24.828118642193683,24.82481867283947
2016-03-17 12:45:20,24.78276919113858,24.864518346253213,24.83478530886035,24.81981867283947
2016-03-17 12:45:30,24.784435857805246,24.87118501291988,24.833118642193682,24.83481867283947
2016-03-17 12:45:40,24.78276919113858,24.87118501291988,24.831451975527013,24.81981867283947
2016-03-17 12:45:50,24.78776919113858,24.87118501291988,24.833118642193682,24.829818672839473
2016-03-17 12:46:00,24.78776919113858,24.87118501291988,24.83478530886035,24.81981867283947
2016-03-17 12:46:10,24.78276919113858,24.87618501291988,24.848118642193683,24.82981867283947
2016-03-17 12:46:20,24.79110252447191,24.88118501291988,24.83478530886035,24.81981867283947
2016-03-17 12:46:30,24.78776919113858,24.87118501291988,24.828118642193683,24.81981867283947
2016-03-17 12:46:40,24.79110252447191,24.87618501291988,24.831451975527013,24.823152006172805
2016-03-17 12:46:50,24.78776919113858,24.877851679586545,24.838118642193685,24.82481867283947
2016-03-17 12:47:00,24.79110252447191,24.87118501291988,24.83478530886035,24.81981867283947
2016-03-17 12:47:10,24.78776919113858,24.88118501291988,24.843118642193684,24.81981867283947
2016-03-17 12:47:20,24.78776919113858,24.88451834625321,24.848118642193686,24.81981867283947
2016-03-17 12:47:30,24.78776919113858,24.886185012919878,24.848118642193683,24.81981867283947
2016-03-17 12:47:40,24.794435857805247,24.88451834625321,24.841451975527015,24.81981867283947
2016-03-17 12:47:50,24.78776919113858,24.88118501291988,24.833118642193682,24.83481867283947
2016-03-17 12:48:00,24.78776919113858,24.88451834625321,24.841451975527015,24.823152006172805
2016-03-17 12:48:10,24.78276919113858,24.886185012919878,24.833118642193682,24.81981867283947
2016-03-17 12:48:20,24.78776919113858,24.89118501291988,24.841451975527015,24.82648533950614
2016-03-17 12:48:30,24.784435857805246,24.88118501291988,24.843118642193684,24.829818672839473
2016-03-17 12:48:40,24.784435857805246,24.88451834625321,24.84478530886035,24.82981867283947
2016-03-17 12:48:50,24.78276919113858,24.886185012919878,24.848118642193683,24.82481867283947
2016-03-17 12:49:00,24.77776919113858,24.887851679586547,24.85478530886035,24.82981867283947
2016-03-17 12:49:10,24.77776919113858,24.886185012919878,24.853118642193685,24.829818672839473
2016-03-17 12:49:20,24.78776919113858,24.887851679586547,24.851451975527016,24.82981867283947
2016-03-17 12:49:30,24.787769191138583,24.886185012919878,24.848118642193683,24.82481867283947
2016-03-17 12:49:40,24.784435857805246,24.88118501291988,24.841451975527015,24.82481867283947
2016-03-17 12:49:50,24.78276919113858,24.89118501291988,24.843118642193684,24.829818672839473
2016-03-17 12:50:00,24.78276919113858,24.89118501291988,24.84478530886035,24.82481867283947
2016-03-17 12:50:10,24.78776919113858,24.89118501291988,24.848118642193683,24.829818672839473
2016-03-17 12:50:20,24.79276919113858,24.881185012919882,24.85478530886035,24.81981867283947
2016-03-17 12:50:30,24.78776919113858,24.89118501291988,24.848118642193683,24.82481867283947
2016-03-17 12:50:40,24.78776919113858,24.89118501291988,24.848118642193686,24.82648533950614
2016-03-17 12:50:50,24.79110252447191,24.88118501291988,24.848118642193683,24.82481867283947
2016-03-17 12:51:00,24.78776919113858,24.89118501291988,24.848118642193686,24.833152006172806
2016-03-17 12:51:10,24.784435857805246,24.887851679586547,24.848118642193683,24.83481867283947
2016-03-17 12:51:20,24.78776919113858,24.89118501291988,24.848118642193686,24.82648533950614
2016-03-17 12:51:30,24.78776919113858,24.88118501291988,24.853118642193685,24.829818672839473
2016-03-17 12:51:40,24.78776919113858,24.89118501291988,24.851451975527016,24.829818672839473
2016-03-17 12:51:50,24.78776919113858,24.89118501291988,24.853118642193685,24.833152006172806
2016-03-17 12:52:00,24.78776919113858,24.904518346253216,24.858118642193684,24.83481867283947
2016-03-17 12:52:10,24.78776919113858,24.91118501291988,24.858118642193684,24.83981867283947
2016-03-17 12:52:20,24.794435857805247,24.91118501291988,24.863118642193683,24.846485339506142
2016-03-17 12:52:30,24.817769191138577,24.917851679586548,24.864785308860352,24.85981867283947
2016-03-17 12:52:40,24.814435857805247,24.91618501291988,24.871451975527016,24.86981867283947
2016-03-17 12:52:50,24.81776919113858,24.924518346253212,24.883118642193683,24.874818672839474
2016-03-17 12:53:00,24.82776919113858,24.92118501291988,24.883118642193683,24.883152006172807
2016-03-17 12:53:10,24.841102524471914,24.93118501291988,24.881451975527018,24.899818672839473
2016-03-17 12:53:20,24.86776919113858,24.937851679586547,24.88811864219368,24.904818672839472
2016-03-17 12:53:30,24.871102524471915,24.936185012919882,24.893118642193684,24.919818672839472
2016-03-17 12:53:40,24.882769191138582,24.94118501291988,24.903118642193682,24.936485339506135
2016-03-17 12:53:50,24.904435857805247,24.94118501291988,24.894785308860353,24.94481867283947
2016-03-17 12:54:00,24.914435857805245,24.94618501291988,24.908118642193685,24.954818672839473
2016-03-17 12:54:10,24.90776919113858,24.94785167958655,24.901451975527017,24.95981867283947
2016-03-17 12:54:20,24.904435857805247,24.94785167958655,24.918118642193683,24.974818672839472
2016-03-17 12:54:30,24.91776919113858,24.95118501291988,24.928118642193684,24.976485339506137
2016-03-17 12:54:40,24.921102524471916,24.957851679586547,24.924785308860354,24.989818672839473
2016-03-17 12:54:50,24.93776919113858,24.96118501291988,24.928118642193684,24.99481867283947
2016-03-17 12:55:00,24.94276919113858,24.95118501291988,24.94478530886035,24.99981867283947
