,AbsT,Temp,RelH,L1,L2,Occ,Act,Door,Win
0,2016-03-15 08:47:25,20.48,38.687,197.14,542.8,0.0,0.0,0,0
1,2016-03-15 08:47:30,20.48,38.687,198.57,542.8,0.0,0.0,0,0
2,2016-03-15 08:47:35,20.47,38.687,198.57,533.6,0.0,0.0,0,0
3,2016-03-15 08:47:40,20.475,38.687,197.14,545.0999999999999,0.0,0.0,0,0
4,2016-03-15 08:47:45,20.47,38.687,197.14,533.6,0.0,0.0,0,0
5,2016-03-15 08:47:50,20.48,38.687,197.14,547.4,0.0,0.0,0,0
6,2016-03-15 08:47:55,20.48,38.687,201.43,542.8,0.0,0.0,0,0
7,2016-03-15 08:48:00,20.48,38.687,197.14,547.4,0.0,0.0,0,0
8,2016-03-15 08:48:05,20.48,38.687,197.14,542.8,0.0,0.0,0,0
9,2016-03-15 08:48:10,20.47,38.687,197.14,542.8,0.0,0.0,0,0
10,2016-03-15 08:48:15,20.48,38.687,195.71,547.4,0.0,0.0,0,0
11,2016-03-15 08:48:20,20.485,38.687,197.855,540.5,0.0,0.0,0,0
12,2016-03-15 08:48:25,20.48,38.687,198.57,542.8,0.0,0.0,0,0
13,2016-03-15 08:48:30,20.48,38.687,197.14,547.4,0.0,0.0,0,0
14,2016-03-15 08:48:35,20.48,38.687,198.57,552.0,0.0,0.0,0,0
15,2016-03-15 08:48:40,20.475,38.687,197.855,547.4,0.0,0.0,0,0
16,2016-03-15 08:48:45,20.48,38.687,197.14,552.0,0.0,0.0,0,0
17,2016-03-15 08:48:50,20.48,38.687,200.0,547.4,0.0,0.0,0,0
18,2016-03-15 08:48:55,20.48,38.687,197.14,552.0,0.0,0.0,0,0
19,2016-03-15 08:49:00,20.48,38.687,197.145,552.0,0.0,0.0,0,0
20,2016-03-15 08:49:05,20.49,38.687,197.14,547.4,0.0,0.0,0,0
21,2016-03-15 08:49:10,20.49,38.687,200.0,561.2,0.0,0.0,0,0
22,2016-03-15 08:49:15,20.48,38.687,197.14,552.0,0.0,0.0,0,0
23,2016-03-15 08:49:20,20.48,38.687,197.14,549.7,0.0,0.0,0,0
24,2016-03-15 08:49:25,20.47,38.687,198.57,552.0,0.0,0.0,0,0
25,2016-03-15 08:49:30,20.48,38.687,197.14,547.4,0.0,0.0,0,0
26,2016-03-15 08:49:35,20.48,38.687,195.71,538.2,0.0,0.0,0,0
27,2016-03-15 08:49:40,20.47,38.687,199.285,549.7,0.0,0.0,0,0
28,2016-03-15 08:49:45,20.48,38.687,198.57,547.4,0.0,0.0,0,0
29,2016-03-15 08:49:50,20.47,38.687,198.57,556.6,0.0,0.0,0,0
30,2016-03-15 08:49:55,20.46,38.687,192.86,547.4,0.0,0.0,0,0
31,2016-03-15 08:50:00,20.47,38.687,197.14,547.4,0.0,0.0,0,0
32,2016-03-15 08:50:05,20.46,38.687,199.285,549.7,0.0,0.0,0,0
33,2016-03-15 08:50:10,20.47,38.687,198.57,542.8,0.0,0.0,0,0
34,2016-03-15 08:50:15,20.47,38.687,198.57,556.6,0.0,0.0,0,0
35,2016-03-15 08:50:20,20.465,38.687,198.57,554.3,0.0,0.0,0,0
36,2016-03-15 08:50:25,20.46,38.687,197.14,556.6,0.0,0.0,0,0
37,2016-03-15 08:50:30,20.48,38.687,198.57,556.6,0.0,0.0,0,0
38,2016-03-15 08:50:35,20.47,38.687,198.57,552.0,0.0,0.0,0,0
39,2016-03-15 08:50:40,20.465,38.687,198.57,552.0,0.0,0.0,0,0
40,2016-03-15 08:50:45,20.48,38.687,200.0,552.0,0.0,0.0,0,0
41,2016-03-15 08:50:50,20.46,38.687,200.0,556.6,0.0,0.0,0,0
42,2016-03-15 08:50:55,20.46,38.687,198.57,556.6,0.0,0.0,0,0
43,2016-03-15 08:51:00,20.465,38.687,198.57,552.0,0.0,0.0,0,0
44,2016-03-15 08:51:05,20.46,38.687,200.0,561.2,0.0,0.0,0,0
45,2016-03-15 08:51:10,20.48,38.727,200.0,556.6,0.0,0.0,0,0
46,2016-03-15 08:51:15,20.47,38.687,200.0,538.2,0.0,0.0,0,0
47,2016-03-15 08:51:20,20.46,38.727,198.57,565.8,0.0,0.0,0,0
48,2016-03-15 08:51:25,20.46,38.727,200.715,565.8,0.0,0.0,0,0
49,2016-03-15 08:51:30,20.46,38.727,200.0,565.8,0.0,0.0,0,0
50,2016-03-15 08:51:35,20.46,38.727,197.14,556.6,0.0,0.0,0,0
51,2016-03-15 08:51:40,20.46,38.687,199.285,556.6,0.0,0.0,0,0
52,2016-03-15 08:51:45,20.47,38.727,195.71,556.6,0.0,0.0,0,0
53,2016-03-15 08:51:50,20.46,38.727,200.0,552.0,0.0,0.0,0,0
54,2016-03-15 08:51:55,20.46,38.727,198.57,570.4,0.0,0.0,0,0
55,2016-03-15 08:52:00,20.465,38.727,199.285,558.9000000000001,0.0,0.0,0,0
56,2016-03-15 08:52:05,20.47,38.687,200.0,556.6,0.0,0.0,0,0
57,2016-03-15 08:52:10,20.47,38.687,198.57,561.2,0.0,0.0,0,0
58,2016-03-15 08:52:15,20.47,38.687,200.0,561.2,0.0,0.0,0,0
59,2016-03-15 08:52:20,20.465,38.687,198.57,565.8,0.0,0.0,0,0
60,2016-03-15 08:52:25,20.47,38.727,198.57,556.6,0.0,0.0,0,0
61,2016-03-15 08:52:30,20.47,38.687,197.14,556.6,0.0,0.0,0,0
62,2016-03-15 08:52:35,20.475,38.687,199.285,554.3,0.0,0.0,0,0
63,2016-03-15 08:52:40,20.47,38.727,198.57,561.2,0.0,0.0,0,0
64,2016-03-15 08:52:45,20.46,38.727,200.0,552.0,0.0,0.0,0,0
65,2016-03-15 08:52:50,20.47,38.727,198.57,556.6,0.0,0.0,0,0
66,2016-03-15 08:52:55,20.46,38.727,198.57,556.6,0.0,0.0,0,0
67,2016-03-15 08:53:00,20.465,38.687,198.57,556.6,0.0,0.0,0,0
68,2016-03-15 08:53:05,20.46,38.727,197.14,556.6,0.0,0.0,0,0
69,2016-03-15 08:53:10,20.46,38.768,198.57,556.6,0.0,0.0,0,0
70,2016-03-15 08:53:15,20.46,38.727,198.57,561.2,0.0,0.0,0,0
71,2016-03-15 08:53:20,20.47,38.727,197.14,556.6,0.0,0.0,0,0
72,2016-03-15 08:53:25,20.46,38.7475,198.57,556.6,0.0,0.0,0,0
73,2016-03-15 08:53:30,20.46,38.727,197.14,552.0,0.0,0.0,0,0
74,2016-03-15 08:53:35,20.46,38.727,198.57,561.2,0.0,0.0,0,0
75,2016-03-15 08:53:40,20.46,38.70699999999999,198.57,549.7,0.0,0.0,0,0
76,2016-03-15 08:53:45,20.46,38.727,198.57,552.0,0.0,0.0,0,0
77,2016-03-15 08:53:50,20.47,38.727,197.14,552.0,0.0,0.0,0,0
78,2016-03-15 08:53:55,20.46,38.727,202.86,542.8,0.0,0.0,0,0
79,2016-03-15 08:54:00,20.47,38.70699999999999,196.425,549.7,0.0,0.0,0,0
80,2016-03-15 08:54:05,20.47,38.727,197.14,547.4,0.0,0.0,0,0
81,2016-03-15 08:54:10,20.48,38.727,195.71,547.4,0.0,0.0,0,0
82,2016-03-15 08:54:15,20.47,38.727,195.71,547.4,0.0,0.0,0,0
83,2016-03-15 08:54:20,20.475,38.7475,197.14,540.5,0.0,0.0,0,0
84,2016-03-15 08:54:25,20.47,38.727,197.14,547.4,0.0,0.0,0,0
85,2016-03-15 08:54:30,20.46,38.727,197.14,538.2,0.0,0.0,0,0
86,2016-03-15 08:54:35,20.46,38.727,197.14,533.6,0.0,0.0,0,0
87,2016-03-15 08:54:40,20.465,38.727,197.14,540.5,0.0,0.0,0,0
88,2016-03-15 08:54:45,20.47,38.727,197.14,542.8,0.0,0.0,0,0
89,2016-03-15 08:54:50,20.47,38.687,197.14,538.2,0.0,0.0,0,0
90,2016-03-15 08:54:55,20.47,38.7475,193.575,542.8,0.0,0.0,0,0
91,2016-03-15 08:55:00,20.47,38.727,197.14,538.2,0.0,0.0,0,0
92,2016-03-15 08:55:05,20.46,38.727,198.57,547.4,0.0,0.0,0,0
93,2016-03-15 08:55:10,20.47,38.727,198.57,547.4,0.0,0.0,0,0
94,2016-03-15 08:55:15,20.48,38.727,195.71,542.8,0.0,0.0,0,0
95,2016-03-15 08:55:20,20.475,38.727,198.57,540.5,0.0,0.0,0,0
96,2016-03-15 08:55:25,20.47,38.727,197.14,542.8,0.0,0.0,0,0
