AbsT,node1,node2,node3,node4
2016-03-15 08:47:28.545,20.48,20.56320924261875,20.50222079589217,20.357329910141207
2016-03-15 08:47:32.680,20.48,20.57320924261875,20.50222079589217,20.357329910141207
2016-03-15 08:47:36.668,20.48,20.57320924261875,20.49222079589217,20.357329910141207
2016-03-15 08:47:40.131,20.48,20.57320924261875,20.49222079589217,20.367329910141205
2016-03-15 08:47:44.774,20.49,20.57320924261875,20.50222079589217,20.367329910141205
2016-03-15 08:47:47.985,20.48,20.56320924261875,20.49222079589217,20.367329910141205
2016-03-15 08:47:52.350,20.48,20.55320924261875,20.50222079589217,20.367329910141205
2016-03-15 08:47:56.342,20.48,20.56320924261875,20.50222079589217,20.367329910141205
2016-03-15 08:48:00.945,20.48,20.56320924261875,20.50222079589217,20.367329910141205
2016-03-15 08:48:05.184,20.48,20.57320924261875,20.50222079589217,20.367329910141205
2016-03-15 08:48:09.049,20.48,20.56320924261875,20.50222079589217,20.367329910141205
2016-03-15 08:48:12.539,20.48,20.57320924261875,20.49222079589217,20.367329910141205
2016-03-15 08:48:16.279,20.48,20.56320924261875,20.50222079589217,20.367329910141205
2016-03-15 08:48:20.653,20.48,20.56320924261875,20.51222079589217,20.367329910141205
2016-03-15 08:48:24.759,20.47,20.57320924261875,20.50222079589217,20.367329910141205
2016-03-15 08:48:27.999,20.48,20.55320924261875,20.50222079589217,20.367329910141205
2016-03-15 08:48:32.239,20.48,20.56320924261875,20.50222079589217,20.367329910141205
2016-03-15 08:48:36.104,20.48,20.55320924261875,20.50222079589217,20.367329910141205
2016-03-15 08:48:39.968,20.48,20.56320924261875,20.50222079589217,20.367329910141205
2016-03-15 08:48:45.211,20.48,20.56320924261875,20.49222079589217,20.367329910141205
2016-03-15 08:48:48.201,20.48,20.56320924261875,20.50222079589217,20.367329910141205
2016-03-15 08:48:52.940,20.48,20.56320924261875,20.50222079589217,20.367329910141205
2016-03-15 08:48:56.320,20.48,20.55320924261875,20.50222079589217,20.367329910141205
2016-03-15 08:49:00.434,20.48,20.55320924261875,20.50222079589217,20.357329910141207
2016-03-15 08:49:04.275,20.48,20.55320924261875,20.50222079589217,20.357329910141207
