AbsT,0
2016-03-15 08:47:25,False
2016-03-15 08:47:30,False
2016-03-15 08:47:35,False
2016-03-15 08:47:40,False
2016-03-15 08:47:45,False
2016-03-15 08:47:50,False
2016-03-15 08:47:55,False
2016-03-15 08:48:00,False
2016-03-15 08:48:05,False
2016-03-15 08:48:10,False
2016-03-15 08:48:15,False
2016-03-15 08:48:20,False
2016-03-15 08:48:25,False
2016-03-15 08:48:30,False
2016-03-15 08:48:35,False
2016-03-15 08:48:40,False
2016-03-15 08:48:45,False
2016-03-15 08:48:50,False
2016-03-15 08:48:55,False
2016-03-15 08:49:00,False
2016-03-15 08:49:05,False
2016-03-15 08:49:10,False
2016-03-15 08:49:15,False
2016-03-15 08:49:20,False
2016-03-15 08:49:25,False
2016-03-15 08:49:30,False
2016-03-15 08:49:35,False
2016-03-15 08:49:40,False
2016-03-15 08:49:45,False
2016-03-15 08:49:50,False
2016-03-15 08:49:55,False
2016-03-15 08:50:00,False
2016-03-15 08:50:05,False
2016-03-15 08:50:10,False
2016-03-15 08:50:15,False
2016-03-15 08:50:20,True
2016-03-15 08:50:25,True
2016-03-15 08:50:30,True
2016-03-15 08:50:35,True
2016-03-15 08:50:40,True
2016-03-15 08:50:45,True
2016-03-15 08:50:50,True
2016-03-15 08:50:55,True
2016-03-15 08:51:00,True
2016-03-15 08:51:05,True
2016-03-15 08:51:10,True
2016-03-15 08:51:15,True
2016-03-15 08:51:20,True
2016-03-15 08:51:25,True
2016-03-15 08:51:30,True
2016-03-15 08:51:35,False
2016-03-15 08:51:40,False
2016-03-15 08:51:45,False
2016-03-15 08:51:50,False
2016-03-15 08:51:55,False
2016-03-15 08:52:00,False
2016-03-15 08:52:05,False
2016-03-15 08:52:10,False
2016-03-15 08:52:15,False
2016-03-15 08:52:20,False
2016-03-15 08:52:25,False
2016-03-15 08:52:30,False
2016-03-15 08:52:35,False
2016-03-15 08:52:40,False
2016-03-15 08:52:45,False
2016-03-15 08:52:50,False
2016-03-15 08:52:55,False
2016-03-15 08:53:00,False
