AbsT,status
2016-03-15 08:57:48.661,Off
2016-03-15 08:57:52.655,Off
2016-03-15 08:57:56.641,Off
2016-03-15 08:58:00.505,Off
2016-03-15 08:58:04.495,Off
2016-03-15 08:58:07.985,Off
2016-03-15 08:58:12.350,Off
2016-03-15 08:58:16.716,Off
2016-03-15 08:58:20.580,Off
2016-03-15 08:58:24.069,Off
2016-03-15 08:58:28.059,Off
2016-03-15 08:58:32.300,Off
2016-03-15 08:58:36.540,Off
2016-03-15 08:58:40.655,Off
2016-03-15 08:58:44.898,Off
2016-03-15 08:58:48.503,Off
2016-03-15 08:58:52.492,Off
2016-03-15 08:58:56.847,Off
2016-03-15 08:59:00.838,Off
2016-03-15 08:59:04.827,Off
2016-03-15 08:59:08.068,Off
2016-03-15 08:59:12.807,Off
2016-03-15 08:59:16.547,Off
2016-03-15 08:59:20.152,Off
2016-03-15 08:59:24.141,Off
2016-03-15 08:59:28.131,Off
2016-03-15 08:59:32.372,Off
2016-03-15 08:59:36.862,Off
2016-03-15 08:59:40.101,Off
2016-03-15 08:59:44.832,Off
2016-03-15 08:59:49.071,Off
2016-03-15 08:59:52.185,Off
2016-03-15 08:59:56.426,Off
2016-03-15 08:59:59.916,Off
2016-03-15 09:00:04.780,Off
2016-03-15 09:00:08.020,Off
2016-03-15 09:00:12.760,Off
2016-03-15 09:00:16.384,Off
2016-03-15 09:00:20.480,Off
2016-03-15 09:00:24.344,Off
2016-03-15 09:00:28.835,Off
2016-03-15 09:00:33.074,Off
2016-03-15 09:00:36.690,Off
2016-03-15 09:00:40.554,Off
2016-03-15 09:00:44.793,Off
2016-03-15 09:00:49.399,Off
2016-03-15 09:00:52.639,Off
2016-03-15 09:00:56.003,Off
2016-03-15 09:01:00.493,Off
2016-03-15 09:01:04.234,Off
2016-03-15 09:01:08.598,Off
2016-03-15 09:01:12.468,Off
2016-03-15 09:01:16.943,Off
2016-03-15 09:01:20.923,Off
2016-03-15 09:01:24.038,Off
2016-03-15 09:01:28.278,Off
2016-03-15 09:01:32.768,Off
2016-03-15 09:01:36.882,Off
2016-03-15 09:01:40.122,Off
2016-03-15 09:01:44.362,Off
2016-03-15 09:01:48.227,Off
2016-03-15 09:01:52.467,Off
2016-03-15 09:01:56.072,Off
2016-03-15 09:02:01.061,Off
2016-03-15 09:02:04.052,Off
2016-03-15 09:02:08.416,Off
2016-03-15 09:02:12.907,Off
2016-03-15 09:02:16.156,Off
2016-03-15 09:02:20.138,Off
2016-03-15 09:02:24.379,Off
2016-03-15 09:02:28.368,Off
2016-03-15 09:02:35.213,Off
2016-03-15 09:02:36.579,Off
2016-03-15 09:02:40.818,Off
2016-03-15 09:02:44.182,Off
2016-03-15 09:02:52.653,Off
2016-03-15 09:02:53.268,Off
2016-03-15 09:02:56.132,Off
2016-03-15 09:02:59.996,Off
2016-03-15 09:03:04.612,Off
2016-03-15 09:03:08.352,Off
2016-03-15 09:03:11.966,Off
2016-03-15 09:03:16.082,Off
2016-03-15 09:03:20.322,Off
