AbsT,t_score,p_value,t_critical
2016-03-15 08:47:28.545,-7.50779512443187,0.997551843344887,2.3533634348018264
2016-03-15 08:47:32.680,-7.163641327637142,0.9971985547829373,2.3533634348018264
2016-03-15 08:47:36.668,-7.280522632842477,0.9973256609001037,2.3533634348018264
2016-03-15 08:47:40.131,-7.599440200841696,0.9976359033537353,2.3533634348018264
2016-03-15 08:47:44.774,-7.4099459932425535,0.9974576838127238,2.3533634348018264
2016-03-15 08:47:47.985,-8.005546008522796,0.9979657926891067,2.3533634348018264
2016-03-15 08:47:52.350,-8.265615472678773,0.9981456505078516,2.3533634348018264
2016-03-15 08:47:56.342,-7.863268359639447,0.9978575719092941,2.3533634348018264
2016-03-15 08:48:00.945,-7.863268359639447,0.9978575719092941,2.3533634348018264
2016-03-15 08:48:05.184,-7.478859395749331,0.9975244848358564,2.3533634348018264
2016-03-15 08:48:09.049,-7.863268359639447,0.9978575719092941,2.3533634348018264
2016-03-15 08:48:12.539,-7.599440200841696,0.9976359033537353,2.3533634348018264
2016-03-15 08:48:16.279,-7.863268359639447,0.9978575719092941,2.3533634348018264
2016-03-15 08:48:20.653,-7.696525966070098,0.9977208483037441,2.3533634348018264
2016-03-15 08:48:24.759,-7.52216147228281,0.9975652784831096,2.3533634348018264
2016-03-15 08:48:27.999,-8.265615472678773,0.9981456505078516,2.3533634348018264
2016-03-15 08:48:32.239,-7.863268359639447,0.9978575719092941,2.3533634348018264
2016-03-15 08:48:36.104,-8.265615472678773,0.9981456505078516,2.3533634348018264
2016-03-15 08:48:39.968,-7.863268359639447,0.9978575719092941,2.3533634348018264
2016-03-15 08:48:45.211,-8.005546008522796,0.9979657926891067,2.3533634348018264
2016-03-15 08:48:48.201,-7.863268359639447,0.9978575719092941,2.3533634348018264
2016-03-15 08:48:52.940,-7.863268359639447,0.9978575719092941,2.3533634348018264
2016-03-15 08:48:56.320,-8.265615472678773,0.9981456505078516,2.3533634348018264
2016-03-15 08:49:00.434,-7.865658605505746,0.997859452037731,2.3533634348018264
2016-03-15 08:49:04.275,-7.865658605505746,0.997859452037731,2.3533634348018264
2016-03-15 08:49:09.015,-7.740164317610426,0.9977577179376864,2.3533634348018264
2016-03-15 08:49:12.506,-7.740164317610426,0.9977577179376864,2.3533634348018264
2016-03-15 08:49:16.619,-7.50779512443187,0.997551843344887,2.3533634348018264
2016-03-15 08:49:20.360,-7.863268359639447,0.9978575719092941,2.3533634348018264
2016-03-15 08:49:24.724,-8.265615472678773,0.9981456505078516,2.3533634348018264
2016-03-15 08:49:29.089,-8.069553183186448,0.9980121256146862,2.3533634348018264
2016-03-15 08:49:32.204,-7.863268359639447,0.9978575719092941,2.3533634348018264
2016-03-15 08:49:35.944,-7.863268359639447,0.9978575719092941,2.3533634348018264
2016-03-15 08:49:40.559,-8.024359858137815,0.9979795582181356,2.3533634348018264
2016-03-15 08:49:44.173,-8.320843425271127,0.9981811120018558,2.3533634348018264
2016-03-15 08:49:48.913,-7.916716961117163,0.9978990984617304,2.3533634348018264
2016-03-15 08:49:52.153,-8.433985795572207,0.998251007611262,2.3533634348018264
2016-03-15 08:49:57.019,-8.571507985791326,0.9983312621130667,2.3533634348018264
2016-03-15 08:50:00.508,-8.10761340938858,0.998039016725046,2.3533634348018264
2016-03-15 08:50:04.498,-8.571507985791326,0.9983312621130667,2.3533634348018264
2016-03-15 08:50:08.863,-8.571507985791326,0.9983312621130667,2.3533634348018264
2016-03-15 08:50:12.603,-8.024359858137815,0.9979795582181356,2.3533634348018264
2016-03-15 08:50:15.968,-8.433985795572207,0.998251007611262,2.3533634348018264
2016-03-15 08:50:20.082,-8.888324389857962,0.9984984603477113,2.3533634348018264
2016-03-15 08:50:24.072,-8.663818745932728,0.9983824181204006,2.3533634348018264
2016-03-15 08:50:28.687,-8.571507985791326,0.9983312621130667,2.3533634348018264
2016-03-15 08:50:32.052,-8.265615472678773,0.9981456505078516,2.3533634348018264
2016-03-15 08:50:36.792,-8.433985795572207,0.998251007611262,2.3533634348018264
2016-03-15 08:50:40.407,-8.512973261245461,0.9982977108935079,2.3533634348018264
2016-03-15 08:50:44.273,-8.663818745932728,0.9983824181204006,2.3533634348018264
2016-03-15 08:50:48.512,-8.765508416199822,0.9984363978686692,2.3533634348018264
2016-03-15 08:50:52.752,-8.571507985791326,0.9983312621130667,2.3533634348018264
2016-03-15 08:50:56.483,-8.663818745932728,0.9983824181204006,2.3533634348018264
2016-03-15 08:51:00.846,-8.512973261245461,0.9982977108935079,2.3533634348018264
2016-03-15 08:51:04.711,-8.571507985791326,0.9983312621130667,2.3533634348018264
2016-03-15 08:51:08.566,-8.157364382548987,0.9980734477607496,2.3533634348018264
2016-03-15 08:51:12.681,-8.683289948728275,0.9983929426755095,2.3533634348018264
2016-03-15 08:51:16.411,-8.433985795572207,0.998251007611262,2.3533634348018264
2016-03-15 08:51:20.275,-8.577414085932704,0.9983345986609219,2.3533634348018264
2016-03-15 08:51:24.392,-8.663818745932728,0.9983824181204006,2.3533634348018264
2016-03-15 08:51:28.496,-8.571507985791326,0.9983312621130667,2.3533634348018264
2016-03-15 08:51:32.736,-8.571507985791326,0.9983312621130667,2.3533634348018264
2016-03-15 08:51:36.729,-8.571507985791326,0.9983312621130667,2.3533634348018264
2016-03-15 08:51:40.215,-9.162393152401151,0.9986256516408165,2.3533634348018264
2016-03-15 08:51:44.580,-8.663818745932728,0.9983824181204006,2.3533634348018264
2016-03-15 08:51:48.070,-8.433985795572207,0.998251007611262,2.3533634348018264
